City_Name,Latitude,Longitude,Temperature,Wind Speed,Cloudiness,Humidity,Country,Date
lagoa,39.05,-27.9833,60.1,3.44,85,66,PT,1651937112
forrest city,35.0081,-90.7898,62.83,10.8,7,71,US,1651937475
nurobod,40.9056,69.8023,72.93,4.99,0,43,UZ,1651937595
port blair,11.6667,92.75,78.84,11.5,100,94,IN,1651937113
sunndalsora,62.6754,8.5515,36.97,8.77,99,83,NO,1651937595
port elizabeth,-33.918,25.5701,59.29,4.61,100,97,ZA,1651937109
kuito,-12.3833,16.9333,67.89,3.6,93,65,AO,1651937596
port moresby,-9.4431,147.1797,78.22,4.61,20,100,PG,1651937109
kerch,45.3583,36.4758,54.75,14.56,100,70,UA,1651937597
san lorenzo,-25.3333,-57.5333,74.59,2.3,0,50,PY,1651937312
severo-kurilsk,50.6789,156.125,38.17,3.58,76,90,RU,1651937057
ugento,39.9263,18.1574,64.47,17.47,83,73,IT,1651937598
ayan,56.45,138.1667,35.1,11.86,33,74,RU,1651937598
kenai,60.5544,-151.2583,36.09,5.75,0,91,US,1651937598
bairiki,1.3292,172.9752,80.6,4.61,20,83,KI,1651937599
broome,42.2506,-75.833,52.63,9.22,0,41,US,1651937599
awbari,26.5921,12.7805,89.67,12.12,1,13,LY,1651937600
fukue,32.6881,128.8419,65.43,14.76,100,87,JP,1651937600
denpasar,-8.65,115.2167,83.71,10.36,20,88,ID,1651937601
ziro,27.6333,93.8333,53.94,2.13,16,91,IN,1651937601
comarapa,-17.9,-64.4833,62.4,1.79,69,53,BO,1651937602
northam,51.0333,-4.2167,60.22,6.73,72,78,GB,1651937602
dvinskoy,62.1535,45.1175,55.58,8.1,97,61,RU,1651937602
provideniya,64.3833,-173.3,30.38,7.76,99,96,RU,1651937095
minot,48.2325,-101.2963,62.67,8.05,75,67,US,1651937356
kalmunai,7.4167,81.8167,83.43,3.67,87,77,LK,1651937086
sibolga,1.7427,98.7792,76.05,2.17,100,90,ID,1651937116
adrar,20.5022,-10.0711,102.47,4.68,7,9,MR,1651937089
itoman,26.1247,127.6694,77.02,10.36,75,88,JP,1651937603
palmer,42.1584,-72.3287,50.88,19.57,100,46,US,1651936984
raahe,64.6833,24.4833,44.69,11.5,56,73,FI,1651937604
oranjemund,-28.55,16.4333,58.28,16.67,0,77,NA,1651937604
uva,56.9908,52.1852,48.65,4.97,90,65,RU,1651937605
tuatapere,-46.1333,167.6833,54.03,5.75,73,90,NZ,1651937161
conakry,9.538,-13.6773,82.42,8.66,7,71,GN,1651937348
uvalde,29.3669,-99.767,83.71,6.91,0,47,US,1651937605
touros,-5.1989,-35.4608,81.7,14.52,93,79,BR,1651937133
posadas,-27.3671,-55.8961,65.68,5.75,0,59,AR,1651937606
ambilobe,-13.2,49.05,76.91,5.14,17,78,MG,1651937606
talnakh,69.4865,88.3972,11.21,15.73,51,81,RU,1651937052
moose factory,51.2585,-80.6094,42.78,4.61,0,52,CA,1651937607
necochea,-38.5473,-58.7368,67.86,12.84,100,53,AR,1651937082
vardo,70.3705,31.1107,41.4,29.71,26,70,NO,1651937104
ampanihy,-24.7,44.75,71.67,3.49,47,82,MG,1651937607
kismayo,-0.3582,42.5454,81.07,13.29,99,82,SO,1651937608
frontino,6.7801,-76.1288,77.04,0.96,91,64,CO,1651937476
bilibino,68.0546,166.4372,20.1,2.66,93,96,RU,1651937608
alamosa,37.4695,-105.87,66.18,12.66,0,16,US,1651937609
andros,37.8333,24.9333,63.16,15.86,63,69,GR,1651937609
dingle,10.9995,122.6711,79.74,7.54,8,83,PH,1651937154
atar,20.5169,-13.0499,105.24,9.82,0,10,MR,1651937030
poum,-20.2333,164.0167,77.47,18.77,25,67,NC,1651937152
itarema,-2.9248,-39.9167,85.05,11.92,91,67,BR,1651937179
akureyri,65.6835,-18.0878,48.13,12.66,20,37,IS,1651937096
tari,12.4086,4.4914,104.07,3.47,100,20,NG,1651937610
tessalit,20.1986,1.0114,100.4,18.54,9,8,ML,1651937610
kilgore,32.3863,-94.8758,77.05,8.05,0,80,US,1651936908
banting,2.8167,101.5,82.53,6.13,100,94,MY,1651937611
auki,-8.7676,160.7034,78.12,4.21,68,89,SB,1651937168
dali,25.7,100.1833,63.12,5.19,77,67,CN,1651937612
roald,62.5833,6.1333,44.92,11.5,20,53,NO,1651937612
bambanglipuro,-7.95,110.2833,78.3,3.42,35,90,ID,1651937612
coahuayana,18.7333,-103.6833,82.8,1.99,90,50,MX,1651937220
honningsvag,70.9821,25.9704,38.95,10.36,100,81,NO,1651937613
berdigestyakh,62.0989,126.6992,33.04,2.33,100,100,RU,1651937120
